HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
3,36,9.31286777e-05,5.33326274e-05,3.96176438e-05,221
3,37,4.14947463e-05,1.32998670e-04,4.17216288e-05,1361
3,38,7.58495516e-05,5.52198253e-05,4.45205515e-05,1460
3,39,5.72345743e-05,8.68157367e-05,4.04697093e-05,127
3,40,1.08497319e-04,2.27435612e-05,4.12239024e-05,110
3,41,6.51524970e-05,1.34871501e-04,4.28171807e-05,271
3,42,5.08172925e-05,6.36695549e-05,4.37369927e-05,19
3,43,1.85841127e-05,5.70413758e-05,4.46265403e-05,32
3,44,7.07357976e-05,5.36291045e-05,4.61883756e-05,241
3,45,1.15891366e-04,4.24295431e-05,4.98323971e-05,227
3,46,4.41783159e-05,1.04808132e-04,5.09068486e-05,343
3,47,1.75670593e-05,7.12134279e-05,5.13503946e-05,146
3,48,1.13069880e-04,2.45417959e-05,5.19999994e-05,27
3,49,3.35277837e-05,9.03271430e-05,5.36610096e-05,209
3,50,4.52286185e-05,1.24728729e-04,5.54693761e-05,1705
3,51,5.05445241e-05,9.07906651e-05,5.29582867e-05,98
3,52,9.19095619e-05,1.18269403e-04,5.47948403e-05,292
3,53,1.12275520e-04,1.30333647e-04,5.37488741e-05,89
3,54,5.39242683e-05,1.16256997e-05,5.58303364e-05,29
3,55,7.69703111e-05,1.24402941e-04,5.70534685e-05,244
3,56,1.36126428e-05,3.76123280e-05,5.84555237e-05,11
3,57,6.46284388e-05,5.08046833e-05,5.95225720e-05,221
3,58,8.91774835e-05,6.65455809e-05,6.10491770e-05,816
3,59,5.22883893e-05,9.99738113e-05,6.20475330e-05,284
3,60,5.17097760e-05,2.54640618e-05,6.15972749e-05,67
3,61,7.00436794e-05,6.23155938e-05,6.22080188e-05,175
3,62,1.39476988e-05,1.00465280e-04,6.25067187e-05,213
3,63,3.99692835e-05,3.20687795e-05,6.25148896e-05,67
3,64,8.02811555e-05,5.60553126e-05,6.28815833e-05,121
3,65,6.71462913e-05,8.88050781e-05,6.26235123e-05,88
3,66,5.39553694e-05,1.02461869e-04,6.26995097e-05,116
4,1,2.49790319e-05,2.87373095e-05,0.00000000e+00,9
4,2,8.56616389e-05,6.54924588e-05,3.16801390e-07,143
4,3,8.89625007e-05,7.71372070e-05,0.00000000e+00,3
4,4,2.32091570e-05,8.36615582e-05,1.49302920e-07,53
