HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
6,11,1.01304613e-04,1.09330678e-04,8.63252296e-08,80
6,12,5.50791228e-05,1.12690439e-04,5.64711002e-07,485
6,13,1.83995508e-05,1.14578725e-04,3.75893001e-06,8925
6,14,9.94721486e-05,1.17304626e-04,2.03402436e-07,100
6,15,1.11171183e-04,1.18793709e-04,2.43651675e-06,1869
6,16,9.72874623e-05,1.19998134e-04,7.67538722e-07,697
6,17,2.11725251e-06,5.84595655e-05,4.09212043e-06,682
6,18,2.58623731e-05,2.69032462e-05,6.77521666e-06,1674
6,19,9.15947676e-05,3.54387589e-06,7.82258394e-06,137
6,20,8.36432810e-05,9.00451341e-05,8.84914334e-06,92
6,21,1.01209538e-04,1.10900037e-04,1.00785674e-05,96
6,22,9.31642862e-05,1.11897418e-04,1.05855543e-05,307
6,23,1.22706842e-04,9.18636724e-05,1.42313729e-05,2231
6,24,8.54189057e-05,6.75134361e-05,1.55812486e-05,1491
6,25,8.15151798e-05,4.33374953e-05,1.69303003e-05,416
6,26,1.01909442e-04,4.63799952e-05,1.65764905e-05,1166
6,27,8.14398372e-05,6.43721942e-05,1.76570466e-05,813
6,28,5.04409036e-05,1.61632597e-05,1.83274424e-05,1261
6,29,1.06416875e-04,1.06980588e-04,1.79590479e-05,292
6,30,1.21646874e-04,7.45980069e-05,2.01654602e-05,465
6,31,1.34897755e-05,2.45382435e-05,2.07076937e-05,184
6,32,8.24455710e-05,6.73709001e-05,2.76704923e-05,6389
6,33,1.20840386e-05,3.88787048e-05,2.49185196e-05,153
6,34,1.00543439e-04,1.20925608e-04,2.49366003e-05,87
6,35,1.30952831e-04,5.65649643e-05,2.80167915e-05,1333
6,36,8.21479443e-06,7.28361265e-05,2.73189471e-05,94
6,37,7.40550240e-05,1.25336854e-04,2.87493476e-05,685
6,38,1.27650390e-04,2.91137840e-05,2.99540607e-05,525
6,39,1.05759638e-04,3.81877035e-05,3.51734816e-05,1207
6,40,5.44512259e-05,8.60691362e-05,3.62211940e-05,860
6,41,7.38072777e-05,5.35259460e-05,3.93498558e-05,828
6,42,2.57257925e-05,1.28595202e-04,3.74295050e-05,885
6,43,1.10693734e-04,3.46365960e-05,3.87122345e-05,705
6,44,9.16510180e-05,5.31821206e-05,3.93164592e-05,447
6,45,1.08659246e-04,2.27984510e-05,4.09590539e-05,1108
6,46,4.17962583e-05,1.32968315e-04,4.17523224e-05,1891
6,47,5.72811878e-05,8.70955118e-05,4.04573620e-05,133
6,48,6.44159809e-05,1.34066213e-04,4.42509845e-05,483
6,49,5.10687278e-05,6.37896446e-05,4.37351591e-05,134
6,50,1.91327254e-05,5.65960181e-05,4.44470861e-05,150
6,51,7.09923770e-05,5.34162500e-05,4.60452538e-05,774
6,52,1.42011013e-05,5.34708815e-05,4.55340996e-05,251
6,53,7.61906558e-05,5.50640543e-05,4.65163830e-05,606
6,54,2.90639782e-05,2.15108012e-05,4.71289022e-05,98
6,55,1.16093768e-04,4.15488284e-05,4.92180880e-05,1703
6,56,1.43256184e-05,3.03295874e-05,4.96627581e-05,638
6,57,4.42271048e-05,1.04782739e-04,5.09097517e-05,519
6,58,1.78509381e-05,7.10518725e-05,5.10448954e-05,284
6,59,1.10838082e-04,1.31455599e-04,5.20592948e-05,648
6,60,1.13133843e-04,2.45767769e-05,5.19067835e-05,472
6,61,5.01767972e-05,9.04229819e-05,5.30659781e-05,492
6,62,3.36469384e-05,8.98639264e-05,5.39048669e-05,278
6,63,9.20844104e-05,1.18267402e-04,5.49558317e-05,761
6,64,9.02587562e-05,6.90216912e-05,5.42388261e-05,42
6,65,4.48559185e-05,1.24985818e-04,5.68509568e-05,2126
6,66,7.56487279e-05,1.24492421e-04,5.63847170e-05,208
6,67,9.21258907e-05,1.14350978e-05,5.90506534e-05,189
6,68,1.07042206e-05,3.77973920e-05,5.85106027e-05,456
6,69,6.44068277e-05,5.11614780e-05,5.96300051e-05,490
6,70,8.86069829e-05,6.79647928e-05,6.19203565e-05,776
6,71,5.17476874e-05,2.45941901e-05,6.14327146e-05,572
6,72,6.98201547e-05,6.21522122e-05,6.21203508e-05,439
6,73,1.16589908e-04,2.64555147e-05,6.26078836e-05,605
6,74,4.01780380e-05,2.97666775e-05,6.24488239e-05,371
6,75,8.08729237e-05,5.83255751e-05,6.26874971e-05,302
6,76,1.42235858e-05,1.01088459e-04,6.24947643e-05,435
6,77,5.02069997e-05,1.02319049e-04,6.22870066e-05,121
6,78,6.70695517e-05,8.79996369e-05,6.26485926e-05,147
6,79,5.52244819e-05,1.02854632e-04,6.28388007e-05,237
6,80,4.19000844e-06,8.52368394e-05,6.30002323e-05,51
7,1,2.61751597e-06,5.88975381e-05,2.11596921e-06,1368
7,2,8.27261101e-05,6.64058316e-05,2.84091743e-06,4028
7,3,8.80470034e-05,7.68161553e-05,4.08998176e-07,359
7,4,2.31106878e-05,8.35925021e-05,5.03541287e-07,411
7,5,2.03007257e-05,8.64835529e-05,9.14718555e-07,657
7,6,1.20977202e-04,9.39069869e-05,2.15869662e-07,139
7,7,9.69312532e-06,1.06823958e-04,2.41739644e-06,1098
7,8,1.01343438e-04,1.09120461e-04,6.72416576e-08,81
7,9,5.51058583e-05,1.11788919e-04,6.77575088e-07,767
7,10,1.84712080e-05,1.14561444e-04,4.01400621e-06,6840
7,11,9.94998700e-05,1.17261348e-04,6.49018659e-07,617
7,12,1.10461828e-04,1.18953511e-04,2.47489038e-06,2391
7,13,9.73632341e-05,1.20037010e-04,5.84798272e-07,378
7,14,2.17034722e-05,8.55545295e-05,6.98671920e-06,1554
7,15,2.60823745e-05,2.68792992e-05,6.98956546e-06,937
7,16,9.11917232e-05,4.09599215e-06,8.23665869e-06,38
7,17,8.36827021e-05,9.00018567e-05,8.85489590e-06,219
7,18,8.08389814e-05,6.52369272e-05,1.67943253e-05,2255
7,19,1.01213780e-04,1.11024943e-04,9.97517600e-06,20
7,20,9.33300034e-05,1.11919253e-04,1.07160831e-05,191
7,21,1.22958372e-04,9.19856466e-05,1.46554730e-05,1404
7,22,8.51865334e-05,6.77327698e-05,1.65016354e-05,2312
7,23,1.02144651e-04,4.63171345e-05,1.65374277e-05,1012
7,24,8.21501089e-05,4.30955151e-05,1.64950561e-05,217
7,25,5.08712474e-05,1.65511792e-05,1.85117169e-05,874
7,26,1.06390122e-04,1.06972664e-04,1.78053288e-05,290
7,27,1.21652949e-04,7.42414850e-05,2.02249958e-05,402
7,28,1.35529917e-05,2.44995063e-05,2.06448731e-05,225
7,29,8.24782110e-05,6.73141185e-05,2.78013667e-05,5892
7,30,1.22942383e-05,3.89585985e-05,2.50767334e-05,190
7,31,1.00685895e-04,1.20944511e-04,2.50898520e-05,90
7,32,7.37751761e-05,1.25589751e-04,2.83400041e-05,1442
7,33,1.30939690e-04,5.64620750e-05,2.82705041e-05,603
7,34,8.07590550e-06,7.25178688e-05,2.74395352e-05,394
7,35,1.27786363e-04,2.98246086e-05,2.97995684e-05,240
7,36,1.05646650e-04,3.81581303e-05,3.52866555e-05,947
7,37,5.45819603e-05,8.60639120e-05,3.61974235e-05,579
7,38,2.58426408e-05,1.28607528e-04,3.74633237e-05,943
7,39,1.10475732e-04,3.45654189e-05,3.85592684e-05,420
7,40,9.09788287e-05,5.29136450e-05,3.91542453e-05,446
7,41,7.32520057e-05,5.26455187e-05,4.01654288e-05,602
7,42,4.17286356e-05,1.33007081e-04,4.17365300e-05,1929
7,43,1.08613007e-04,2.29452526e-05,4.13673588e-05,842
7,44,5.73445541e-05,8.71141747e-05,4.06523286e-05,195
7,45,5.10354075e-05,6.37599442e-05,4.38417046e-05,103
7,46,6.42059968e-05,1.33668989e-04,4.44359757e-05,309
7,47,1.93212800e-05,5.64096445e-05,4.44004254e-05,175
7,48,1.41496457e-05,5.34114806e-05,4.54219007e-05,477
7,49,7.10907407e-05,5.35160943e-05,4.60629926e-05,705
7,50,7.61762203e-05,5.50567565e-05,4.66133970e-05,586
7,51,1.16103947e-04,4.16559124e-05,4.87983780e-05,706
7,52,2.89510554e-05,2.13909134e-05,4.72581378e-05,70
7,53,1.48632562e-05,3.01341479e-05,4.90684652e-05,634
7,54,4.42662713e-05,1.04790270e-04,5.09232705e-05,562
7,55,1.78470800e-05,7.10085296e-05,5.11036633e-05,153
7,56,1.10419074e-04,1.31848225e-04,5.19421228e-05,371
7,57,1.13145383e-04,2.45839365e-05,5.18638590e-05,176
7,58,3.34895485e-05,8.99408187e-05,5.36782536e-05,348
7,59,5.03868650e-05,9.04279514e-05,5.30211000e-05,309
7,60,9.18915830e-05,1.18335251e-04,5.47338532e-05,808
7,61,4.45292608e-05,1.25123886e-04,5.75244303e-05,2842
7,62,7.46438309e-05,1.24280501e-04,5.61638517e-05,543
7,63,9.21980827e-05,1.14374607e-05,5.90636555e-05,296
7,64,1.02295498e-05,3.80303718e-05,5.80113083e-05,347
7,65,6.45128312e-05,5.08037083e-05,5.96670543e-05,451
7,66,5.18875968e-05,2.42679453e-05,6.13563752e-05,532
7,67,6.97703581e-05,6.20894134e-05,6.23561573e-05,631
7,68,8.80987354e-05,6.82074606e-05,6.21761210e-05,613
7,69,4.00087156e-05,2.89859963e-05,6.25861721e-05,679
7,70,1.16306321e-04,2.60870293e-05,6.25045213e-05,318
7,71,1.43304551e-05,1.00995530e-04,6.27127811e-05,467
7,72,4.97818110e-05,1.03037368e-04,6.24287350e-05,154
7,73,8.07994293e-05,5.88682306e-05,6.25875764e-05,94
7,74,6.69337169e-05,8.77583079e-05,6.25892280e-05,113
7,75,5.56011400e-05,1.02862759e-04,6.28297785e-05,246
7,76,4.19430171e-06,8.52499506e-05,6.29994902e-05,38
8,1,2.61720852e-05,2.68086169e-05,5.38400718e-06,2154
8,2,2.47593052e-05,2.80783279e-05,1.02414603e-07,29
8,3,4.17100637e-06,5.80828055e-05,4.66510727e-07,266
8,4,2.72356328e-06,6.01428219e-05,3.53474348e-07,283
8,5,8.57853884e-05,6.08545633e-05,2.40501691e-07,171
8,6,8.25157040e-05,6.72025999e-05,2.76578544e-06,3252
8,7,2.31824270e-05,7.34523710e-05,6.66607320e-08,37
8,8,8.80303924e-05,7.68489699e-05,2.84337233e-07,270
8,9,2.33933624e-05,8.37600237e-05,3.28684564e-07,234
8,10,2.02006304e-05,8.63465320e-05,6.26640087e-07,321
8,11,1.21104727e-04,9.39722449e-05,1.44646037e-07,122
8,12,1.07835103e-05,1.07153624e-04,2.21704113e-06,1335
8,13,1.01233032e-04,1.09158740e-04,4.48535964e-08,33
8,14,5.47873715e-05,1.10934132e-04,5.94761502e-07,735
8,15,1.87688602e-05,1.14449096e-04,4.06262870e-06,7162
8,16,9.93752328e-05,1.17147538e-04,2.63579381e-07,135
8,17,1.09747773e-04,1.18755015e-04,2.91310721e-06,1174
8,18,9.74846480e-05,1.19939468e-04,4.44223303e-07,261
8,19,3.45163062e-06,5.92580327e-05,5.00814804e-06,595
8,20,2.18828191e-05,8.55476901e-05,7.21240667e-06,1196
8,21,9.07751455e-05,4.66228175e-06,8.24027848e-06,129
8,22,8.36552936e-05,9.00281011e-05,8.82360564e-06,220
8,23,1.01188431e-04,1.10923844e-04,9.88001466e-06,84
8,24,8.07536853e-05,6.54774849e-05,1.66708924e-05,2671
8,25,9.35645076e-05,1.12004876e-04,1.04440487e-05,45
8,26,1.23244376e-04,9.22379695e-05,1.50563128e-05,1606
8,27,1.03068494e-04,4.63484794e-05,1.62001306e-05,790
8,28,5.09507736e-05,1.69655214e-05,1.84187338e-05,1537
8,29,8.28350239e-05,4.25522267e-05,1.65268739e-05,253
8,30,8.47265474e-05,6.87583743e-05,1.76469675e-05,1553
8,31,1.06462212e-04,1.07024287e-04,1.80187344e-05,280
8,32,1.21871970e-04,7.38271483e-05,2.02671017e-05,469
8,33,1.34727770e-05,2.45488663e-05,2.07587236e-05,333
8,34,8.25528987e-05,6.72576207e-05,2.80862405e-05,5404
8,35,1.23940281e-05,3.91575377e-05,2.54529368e-05,129
8,36,1.00726349e-04,1.20708195e-04,2.49684563e-05,65
8,37,7.34661589e-05,1.26004757e-04,2.79681462e-05,1306
